name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,Clustering_Method,CHM,CHD,IFN,CMQ,ccoh,ccop,SMQ,scoh,scop,SERVICES,clustering_names,time
nieyue/ActivationCodeMall,307,41,9020,3,1,Java,2,0,nieyue,ActivationCodeMall,,,,,,,,,,,,,
598605338/yikao,607,37,7264,2,1,Java,1,0,598605338,yikao,,,,,,,,,,,,,
nullcodeexecutor/pts,174,27,3020,2,0,JavaScript,1,0,nullcodeexecutor,pts,,,,,,,,,,,,,
YouAreOnlyOne/CommunityInformationForWeb,163,23,7163,2,1,JavaScript,2,0,YouAreOnlyOne,CommunityInformationForWeb,,,,,,,,,,,,,
gvSIGAssociation/gvsig-web,127,51,6145,2,0,JavaScript,13,0,gvSIGAssociation,gvsig-web,,,,,,,,,,,,,
hongqiang/shopb2b,465,91,3060,2,1,Java,4,0,hongqiang,shopb2b,,,,,,,,,,,,,
AaronSum/hotel-mgr-sys,498,31,5100,2,2,Java,1,0,AaronSum,hotel-mgr-sys,,,,,,,,,,,,,
amit-an/webapp_war_sample,334,105,7994,2,2,Java,0,0,amit-an,webapp_war_sample,,,,,,,,,,,,,
SupermePower/zammc-manage,119,18,4059,2,0,JavaScript,1,0,SupermePower,zammc-manage,,,,,,,,,,,,,
dtdhehe/ptu-life,66,12,5615,2,0,HTML,0,0,dtdhehe,ptu-life,,,,,,,,,,,,,
lancelee98/PeopleMange,182,22,5014,2,1,Java,0,0,lancelee98,PeopleMange,,,,,,,,,,,,,
jeezhau/ec-server,149,20,1244,2,0,Java,1,0,jeezhau,ec-server,,,,,,,,,,,,,
litbo/hospitalzj,185,26,6518,2,0,JavaScript,0,0,litbo,hospitalzj,,,,,,,,,,,,,
fawks96/pet-hospital,74,11,28850,2,1,Java,0,5,fawks96,pet-hospital,,,,,,,,,,,,,
xabaohui/zis,553,135,1591,2,1,Java,1,24,xabaohui,zis,,,,,,,,,,,,,
RoyZeng/gmhx,402,60,3584,2,2,Java,1,0,RoyZeng,gmhx,,,,,,,,,,,,,
eea/eionet.webq,196,21,25967,2,3,Java,50,3,eea,eionet.webq,,,,,,,,,,,,,
Maxcj/Maxcj,177,23,13468,2,0,JavaScript,0,2,Maxcj,Maxcj,,,,,,,,,,,,,
qwe7783131/CareerDevelopment,193,37,2167,2,0,HTML,0,2,qwe7783131,CareerDevelopment,,,,,,,,,,,,,
findmyapp/findmyapp,139,13,14340,2,0,Java,20,0,findmyapp,findmyapp,,,,,,,,,,,,,
Jeanwin/disrec,333,53,156940,2,2,JavaScript,2,0,Jeanwin,disrec,,,,,,,,,,,,,
zhaowei520/CDCXH,236,33,68563,2,1,Java,0,1,zhaowei520,CDCXH,,,,,,,,,,,,,
