name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time
uq-eresearch/lorestore,85,11,2095,3,3,JavaScript,3,12,uq-eresearch,lorestore,KMeans_27,0.458333333,0.25,1,0.777485572,0.777777778,0.000292205,0.100071225,0.185185185,0.08511396,27,173.51,KMeans_35,0.458333333,0.25,1,0.942690488,0.942857143,0.000166655,-0.09789916,0.028571429,0.126470588,35,47.77
isa-group/ideas-studio,115,20,9401,3,5,JavaScript,11,100,isa-group,ideas-studio,KMeans_49,0.768452381,0.63349359,1,0.959124381,0.959183674,5.93E-05,0.058956916,0.132653061,0.073696145,49,252.25,KMeans_36,0.797830688,0.620911681,1.066666667,0.87952381,0.87962963,0.00010582,0.166402116,0.222222222,0.055820106,36,89.62
smartcommunitylab/smartcampus.vas.corsi.web,65,13,1828,3,0,JavaScript,33,0,smartcommunitylab,smartcampus.vas.corsi.web,KMeans_31,0.561721612,0.893627052,1,0.71896173,0.719354839,0.000393109,1.45E-01,2.76E-01,1.32E-01,31,266.69,KMeans_29,0.561721612,0.893627052,1,0.729387593,0.729885058,0.000497464,1.39E-01,2.61E-01,1.23E-01,29,88.36
xiongzhenhai-zh/produce-project-managerment,113,14,2409,3,0,Java,0,0,xiongzhenhai-zh,produce-project-managerment,KMeans_48,0.76734127,1,1,0.83660986,0.836805556,0.000195696,0.221674916,0.273263889,0.051588973,48,368.43,KMeans_39,0.76734127,1,1,0.83039588,0.830769231,0.000373351,0.259770205,0.297435897,0.037665692,39,139.12
XMFBee/AuthPlatform1,281,63,13445,3,0,JavaScript,0,0,XMFBee,AuthPlatform1,KMeans_74,0.556285043,0.694590033,1.276595745,0.75829584,0.758402071,0.000106231,0.235412632,0.262420294,0.027007661,74,791.87,KMeans_77,0.572854971,0.698518147,1.363636364,0.722043318,0.722151009,0.000107692,0.310601562,0.330533536,0.019931974,77,215.27
scrumtracker/scrumtracker2017,44,13,69555,3,2,Java,5,1,scrumtracker,scrumtracker2017,KMeans_14,0.923396301,0.829437594,1,0.952278308,0.95952381,0.007245502,0.13290293,0.233333333,0.100430403,14,168.1,KMeans_16,0.923396301,0.829437594,1,0.972986111,0.979166667,0.006180556,0.080671296,0.197916667,0.11724537,16,45.82
danbaixidanbai/OCproject,77,15,1889,3,0,JavaScript,0,2,danbaixidanbai,OCproject,KMeans_38,1,0.411330698,1,0.938382007,0.938596491,0.000214484,0.172435594,0.236842105,0.064406512,38,247.44,KMeans_38,1,0.411330698,1,0.920848265,0.921052632,0.000204367,0.15595859,0.223684211,0.06772562,38,79.75
CrazyZhao/zblog,63,13,3603,3,1,HTML,1,0,CrazyZhao,zblog,KMeans_30,0.858974359,0.775030525,1,0.832709737,0.833333333,0.000623596,0.163186462,0.25,0.086813538,30,220.04,KMeans_31,0.858974359,0.775030525,1,0.81661695,0.817204301,0.000587351,0.144683393,0.241935484,0.097252091,31,57.61
holagoldfish/H5APP-java,39,15,239,3,1,Java,0,0,holagoldfish,H5APP-java,KMeans_17,0.95,0.938095238,1,0.847505767,0.849019608,0.001513841,0.146609477,0.266666667,0.12005719,17,172.39,KMeans_16,0.95,0.938095238,1,0.837708333,0.839583333,0.001875,0.158958333,0.278125,0.119166667,16,45.58
orgqy88cckz/AccumulationFund,134,28,3919,3,0,JavaScript,0,0,orgqy88cckz,AccumulationFund,KMeans_61,1,0.270049487,1,0.969894294,0.969945355,5.11E-05,0.484528689,0.484699454,0.000170765,61,465.34,KMeans_61,1,0.275691673,1.037037037,0.969894294,0.969945355,5.11E-05,0.484528689,0.484699454,0.000170765,61,133.93
LiJiuRi/jie_you_ba,102,18,4748,3,1,Java,0,0,LiJiuRi,jie_you_ba,KMeans_42,0.758333333,0.777777778,1,0.834600935,0.834920635,0.0003197,0.331037876,0.353571429,0.022533553,42,322.61,KMeans_50,0.758333333,0.777777778,1,0.883126753,0.883333333,0.000206581,0.296740363,0.326666667,0.029926304,50,142.12
RMHM/miniMap,83,12,17285,3,0,JavaScript,0,0,RMHM,miniMap,KMeans_33,0.787863934,0.825371538,1,0.731397272,0.731601732,0.000204459,0.247596783,0.273845599,0.026248816,33,324.95,KMeans_34,0.787863934,0.825371538,1,0.702785483,0.702941177,0.000155693,0.270694692,0.307843137,0.037148445,34,96.71
nullcodeexecutor/pts,174,27,3020,2,0,JavaScript,1,0,nullcodeexecutor,pts,KMeans_76,0.920634921,0.191919192,1.19047619,0.772290243,0.772368421,7.82E-05,0.326333333,0.335307018,0.008973684,76,721.03,KMeans_76,0.924242424,0.215151515,1.136363636,0.735885626,0.735964912,7.93E-05,0.305544591,0.319298246,0.013753655,76,174.39
YouAreOnlyOne/CommunityInformationForWeb,163,23,7163,2,1,JavaScript,2,0,YouAreOnlyOne,CommunityInformationForWeb,KMeans_79,0.560232192,0.906709957,1,0.864949196,0.864978903,2.97E-05,0.127508655,0.167721519,0.040212864,79,389.72,KMeans_79,0.560232192,0.906709957,1,0.876763436,0.876793249,2.98E-05,0.112817808,0.15021097,0.037393162,79,113.32
gvSIGAssociation/gvsig-web,127,51,6145,2,0,JavaScript,13,0,gvSIGAssociation,gvsig-web,KMeans_36,0.617732268,0.789177069,1,0.83776392,0.837962963,0.000199043,0.152826279,0.203240741,0.050414462,36,273.28,KMeans_44,0.617732268,0.789177069,1,0.848359697,0.848484849,0.000125151,0.125484496,0.185606061,0.060121564,44,84.56
hongqiang/shopb2b,465,91,3060,2,1,Java,4,0,hongqiang,shopb2b,KMeans_78,0.464921149,0.302733415,2.444444444,0.654655122,0.654691716,3.66E-05,0.225782062,0.231990506,0.006208444,78,1548.66,KMeans_76,0.480060323,0.281846459,2,0.587583868,0.587647026,6.32E-05,0.214733893,0.223886585,0.009152692,76,367.04
AaronSum/hotel-mgr-sys,498,31,5100,2,2,Java,1,0,AaronSum,hotel-mgr-sys,KMeans_73,0.523659463,0.54895503,4.5,0.27262278,0.272839391,0.000216611,0.301963451,0.302637262,0.00067381,73,2066.64,KMeans_76,0.563778472,0.611306475,6.75,0.269559956,0.269772452,0.000212496,0.312017326,0.312371243,0.000353917,76,558.11
