name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,gpt_Clustering_Method,gpt_CHM,gpt_CHD,gpt_IFN,gpt_CMQ,gpt_ccoh,gpt_ccop,gpt_SMQ,gpt_scoh,gpt_scop,gpt_SERVICES,gpt_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,Clustering_Method,W_CHM,W_CHD,W_IFN,W_CMQ,W_ccoh,W_ccop,W_SMQ,W_scoh,W_scop,W_SERVICES,W_time,t_CHM,t_CHD,t_IFN,t_CMQ,t_ccoh,t_ccop,t_SMQ,t_scoh,t_scop,t_SERVICES,t_clustering_names,t_time
easy-ware/api-manager,181,90,21297,15,7,Java,4,5,easy-ware,api-manager,KMeans_79,0.8397420635,0.9430555556,1,0.9045690831,0.9046413502,7.23E-05,0.1399369793,0.1898734177,0.049936438,79,516.01,KMeans_63,0.8397420635,0.9430555556,1,0.7919255867,0.7920634921,0.000137905,0.2477456335,0.2873015873,0.039555954,63,139.42,KMeans_67,0.839742063,0.943055556,1,0.845943732,0.846087743,0.000144011,0.176492709,0.236318408,0.059825699,KMeans_67,73.12,0.782669954,0.783214865,1.111111111,0.453370621,0.458162287,0.004791667,0.233887507,0.246687669,0.012800162,16,L,24.55
lvr1997/ershoujiaoyi,78,11,8678,14,7,Java,0,7,lvr1997,ershoujiaoyi,KMeans_39,0.8515037594,0.8316447368,1.1,0.9055785941,0.905982906,0.000404312,0.1711276053,0.2564102564,0.085282651,39,287.84,KMeans_39,0.8515037594,0.8316447368,1.1,0.8798701831,0.8803418803,0.000471697,0.1999550157,0.2863247863,0.086369771,39,83.88,KMeans_39,0.851503759,0.831644737,1.1,0.926902406,0.927350427,0.000448021,0.153283851,0.256410256,0.103126406,KMeans_39,43.59,0.706149843,0.637432331,2.2,0.592868394,0.598300493,0.005432099,0.294128089,0.310584291,0.016456202,10,L,23.84
GZzzhsmart/P2Pproj,275,42,98201,13,8,JavaScript,1,4,GZzzhsmart,P2Pproj,KMeans_72,0.5129590209,0.6618103554,1.057142857,0.6523768954,0.652408274,3.14E-05,0.370646394,0.3772157853,0.006569391,72,828.41,KMeans_78,0.512502684,0.6695344217,1.15625,0.6676539328,0.6676850927,3.12E-05,0.3955981889,0.4037642913,0.008166102,78,188.98,KMeans_71,0.515546051,0.671099073,1.088235294,0.631994644,0.632042254,4.76E-05,0.382974564,0.395875252,0.012900688,KMeans_71,95.04,0.520481803,0.423680339,3.363636364,0.511763582,0.512388582,0.000625,0.209697419,0.212423787,0.002726368,16,L,24.94
HIIT/dime-server,91,12,97425,13,7,Java,27,23,HIIT,dime-server,KMeans_44,0.5546173308,0.859835248,1,0.7840439773,0.7840909091,4.69E-05,0.1137024313,0.1507575758,0.037055144,44,339.97,KMeans_45,0.5546173308,0.859835248,1,0.699221508,0.6992592593,3.78E-05,0.1658122896,0.1918518519,0.02603956229,45,108.62,KMeans_43,0.554617331,0.859835248,1,0.736365431,0.736434109,6.87E-05,0.062753784,0.124031008,0.061277224,KMeans_43,49.25,0.27620373,0.545278807,2,0.155342454,0.161720005,0.006377551,0.156252599,0.175797667,0.019545068,8,L,24.33
doooyo/Weixin_Server,303,32,4538,13,11,Java,4,0,doooyo,Weixin_Server,KMeans_78,0.8644000129,0.8809700474,1.117647059,0.7307519321,0.7307692308,1.73E-05,0.2142544955,0.2566239316,0.042369436,78,529.73,KMeans_75,0.858965583,0.8718530329,1.1875,0.7310907232,0.7311111111,2.04E-05,0.2317067067,0.2733333333,0.04162662663,75,138.1,KMeans_79,0.865360774,0.884315208,1.055555556,0.684367222,0.684388186,2.10E-05,0.114818872,0.212236287,0.097417415,KMeans_79,100.41,0.800390389,0.805205836,3.166666667,0.27707648,0.279048867,0.001972387,0.282026678,0.290929237,0.008902559,13,L,26.1
fishstormX/fishmaple,173,21,5532,11,1,JavaScript,2,6,fishstormX,fishmaple,KMeans_74,0.8505668934,0.817888637,1,0.8252164526,0.8252252252,8.77E-06,0.162730882,0.1966216216,0.03389074006,74,545.87,KMeans_73,0.8505668934,0.817888637,1,0.7588948428,0.7589041096,9.27E-06,0.2161408126,0.2538812785,0.037740466,73,116.08,KMeans_61,0.850566893,0.817888637,1,0.649165398,0.649180328,1.49E-05,0.229892228,0.281420765,0.051528537,KMeans_61,67.73,0.749287155,0.549343576,1.105263158,0.379527724,0.37958153,5.38E-05,0.385982866,0.401406926,0.015424061,33,L,24.28
opendevstack/ods-provisioning-app,146,11,1516,11,15,Java,26,47,opendevstack,ods-provisioning-app,KMeans_57,0.4489583333,0.554672619,1,0.8317515018,0.8317738791,2.24E-05,0.2074631022,0.2322612086,0.024798106,57,439.18,KMeans_73,0.4489583333,0.554672619,1,0.8988745568,0.898891063,1.65E-05,0.1102436218,0.1516634051,0.04141978329,73,107.77,KMeans_40,0.448958333,0.554672619,1,0.644048793,0.644139194,9.04E-05,0.295400333,0.339583333,0.044183,KMeans_40,74.67,0.597740113,0.124405699,4,0.419601481,0.421080771,0.00147929,0.27144395,0.283360158,0.011916209,13,L,24.84
starqiu/RDMP1,60,30,24114,10,12,Java,5,0,starqiu,RDMP1,KMeans_17,0.6,0.6542857143,1,0.7441789216,0.7450980392,0.000919118,0.065563725,0.2352941176,0.1697303922,17,144.92,KMeans_16,0.6,0.6542857143,1,0.6864583333,0.6875,0.001041667,0.1814814815,0.28125,0.099768519,16,43.13,KMeans_22,0.833333333,0.567857143,1.25,0.908566181,0.909090909,0.000524728,-0.131493506,0.068181818,0.199675325,KMeans_22,26.22,0.963076923,0.432472527,1.25,0.38,0.388888889,0.008888889,0.154960317,0.259126984,0.104166667,6,L,23.1
yorkmass/Yark-AdminMS,69,12,41214,9,0,JavaScript,1,1,yorkmass,Yark-AdminMS,KMeans_34,0.6196428571,0.6684719404,1,0.8528140798,0.8529411765,0.000127097,0.1218805704,0.1911764706,0.0692959,34,227.83,KMeans_31,0.6196428571,0.6684719404,1,0.8277951208,0.8279569892,0.000161868,0.1084229391,0.1801075269,0.071684588,31,54.24,KMeans_32,0.619642857,0.66847194,1,0.791463428,0.791666667,0.000203239,-0.041078629,0.119791667,0.160870296,KMeans_32,31.69,0.560415208,0.396056054,1.5,0.240846561,0.271957672,0.031111111,0.175468923,0.2001628,0.024693878,6,L,23.27
768330962/poet_ready_system,57,14,1629,8,5,HTML,0,3,768330962,poet_ready_system,KMeans_16,0.9404761905,0.4718514359,1,0.9234027778,0.9270833333,0.003680556,0.2779513889,0.3229166667,0.044965278,16,248.13,KMeans_15,0.9404761905,0.4718514359,1,0.8843537415,0.888888889,0.004535147,0.3091269841,0.3388888889,0.029761905,15,61.3,KMeans_21,0.928205128,0.423959666,1.076923077,0.857301587,0.858730159,0.001428571,0.178859127,0.248412698,0.069553571,KMeans_21,35.59,0.957065741,0.399658706,2,0.627690563,0.657169021,0.029478458,0.28277231,0.303126635,0.020354325,7,L,23.48
suyeq/steamMall,120,13,6524,8,2,CSS,2,2,suyeq,steamMall,KMeans_56,0.9779411765,0.6707875992,1,0.8106510373,0.8107142857,6.32E-05,0.1573935786,0.1922619048,0.03486832612,56,419.7,KMeans_60,0.9779411765,0.6707875992,1,0.8088323917,0.808888889,5.65E-05,0.1755590866,0.2208333333,0.045274247,60,112.29,KMeans_59,0.977941176,0.670787599,1,0.750780165,0.750847458,6.73E-05,0.147597247,0.21920904,0.071611793,KMeans_59,74.98,0.942179054,0.577609067,1.5,0.730532923,0.731432456,0.000899533,0.1359592,0.146046043,0.010086843,22,L,24.14
zlren/noah-health,86,12,320,8,6,Java,3,0,zlren,noah-health,KMeans_28,0.9060737243,0.9674718219,1,0.859068895,0.8595238095,0.000454914,0.1565255732,0.2654761905,0.1089506173,28,245.49,KMeans_29,0.9060737243,0.9674718219,1,0.8639734848,0.864367816,0.000394331,0.1769396552,0.2735632184,0.096623563,29,76.53,KMeans_16,0.906073724,0.967471822,1,6.51E-01,0.654166667,0.002777778,0.195949074,0.333333333,0.137384259,KMeans_16,40.2,0.861823593,0.943909117,1.375,0.44600551,0.45261708,0.00661157,0.011239669,0.345552932,0.334313262,11,L,23.81
khasang/delivery,218,11,7443,6,6,Java,8,5,khasang,delivery,KMeans_59,0.7976984127,0.7792640693,1,0.8536833192,0.8537147451,3.14E-05,0.2741735065,0.2767256202,0.002552114,59,690.22,KMeans_70,0.7976984127,0.7792640693,1,0.8938238525,0.893845285,2.14E-05,0.2536818496,0.257287785,0.003605935,70,136.8,KMeans_47,0.797698413,0.779264069,1,0.793991175,0.794050222,5.90E-05,0.306025776,0.311917977,0.005892201,KMeans_47,90.88,0.702970969,0.793943191,1.25,0.692389161,0.692901784,0.000512623,0.200044206,0.200086876,4.27E-05,18,L,23.72
TexnologiaLogismikou/Fiz,199,18,1160,6,0,Java,5,3,TexnologiaLogismikou,Fiz,KMeans_51,0.7284090909,0.731845238,1,0.9462785083,0.9464052288,0.00012672,0.1207215686,0.1941176471,0.073396078,51,407.08,KMeans_52,0.7284090909,0.731845238,1,0.9588634549,0.958974359,0.000110904,0.1129399196,0.1871794872,0.074239568,52,98.96,KMeans_38,0.728409091,0.731845238,1,0.889778594,0.890037594,0.000259,0.221923404,0.255482456,0.033559052,KMeans_38,50.84,0.592857143,0.65228647,1.6,0.822594649,0.823438281,0.000843631,0.260185778,0.268715642,0.008529864,23,L,24.82
wang007/live-server,238,23,6130,6,5,JavaScript,4,0,wang007,live-server,KMeans_78,0.6887755102,0.760891634,1.047619048,0.7778047848,0.7778388278,3.40E-05,0.2562050231,0.2668709496,0.01066592646,78,721.8,KMeans_79,0.706547619,0.7789362159,1.1,0.7534228186,0.7534558971,3.31E-05,0.2445597483,0.258077155,0.01351740657,79,160.34,KMeans_71,0.678030303,0.742962635,1,0.627251013,0.62730931,5.83E-05,0.328920028,0.345506372,0.016586343,KMeans_71,114.86,0.678272594,0.37150024,3.142857143,0.488276369,0.489591294,0.001314924,0.153410354,0.155446343,0.002035989,13,L,25.51
zxwgdft/paladin-boot,328,17,97803,6,0,JavaScript,1,0,zxwgdft,paladin-boot,KMeans_72,0.1858630952,0.539937642,1,0.6685693066,0.6685786436,9.34E-06,0.3509414229,0.3575767597,0.006635337,72,862.16,KMeans_75,0.1858630952,0.539937642,1,0.674632237,0.6746432749,1.10E-05,0.3462676884,0.3549615706,0.008693882,75,180.57,KMeans_75,0.185863095,0.539937642,1,0.71124978,0.711259259,9.48E-06,0.322001587,0.334724868,0.01272328,KMeans_75,119.55,0.345487286,0.244814373,1.6,0.539905946,0.539964077,5.81E-05,0.316245632,0.318125663,0.001880031,30,L,26.69
shenshaoming/byte_easy,55,12,13225,5,4,JavaScript,1,0,shenshaoming,byte_easy,KMeans_15,0.6857142857,0.9087868481,1,0.837188209,0.84,0.002811791,0.2493650794,0.3166666667,0.067301587,15,185.69,KMeans_19,0.6857142857,0.9087868481,1,0.910160391,0.9122807018,0.002120311,0.1452241715,0.2368421053,0.091617934,19,43.29,KMeans_14,0.685714286,0.908786848,1,8.92E-01,0.895238095,0.002898201,0.140201465,0.236904762,0.096703297,KMeans_14,27.56,0.378491508,0.586681652,1.4,0.684444444,0.711111111,0.026666667,0.299113757,0.31494709,0.015833333,6,L,23.59
nimble-platform/business-process-service,222,47,2798,5,3,Java,5,16,nimble-platform,business-process-service,KMeans_77,0.7435714286,0.6973624339,1.08,0.888250533,0.8882870917,3.66E-05,0.062774641,0.1545061,0.091731459,77,574.98,KMeans_79,0.7630494505,0.7282331095,1.038461538,0.8729614379,0.8729957806,3.43E-05,0.086898419,0.1581223629,0.071223944,79,153.88,KMeans_77,0.74537037,0.734330296,1,0.87225209,0.872294372,4.23E-05,-0.019503372,0.121212121,0.140715493,KMeans_77,136.23,0.785464487,0.559775508,1.928571429,0.331220095,0.332956206,0.001736111,0.249926996,0.271232644,0.021305648,16,L,28.45
codemky/uni,615,89,1444,5,0,Java,2,2,codemky,uni,KMeans_73,0.6622210832,0.967557736,2.179487179,0.2780904975,0.278452047,0.00036155,0.2078044109,0.2082467051,0.000442294,73,3204.26,KMeans_76,0.6894379994,0.9921079042,3.863636364,0.287644583,0.2879785935,0.00033401,0.2151665639,0.2157500634,0.0005835,76,783.16,KMeans_74,0.764911307,0.963751513,5,0.404428285,0.404714082,0.000285796,0.174948464,0.18798009,0.013031626,KMeans_74,676.32,0.505514335,0.294770224,2.125,0.276641412,0.276992163,0.000350751,0.203250808,0.203537654,0.000286846,75,L,37.93
aramsoft/aramcomp,345,72,21307,5,5,Java,1,1,aramsoft,aramcomp,KMeans_78,0.6814412464,0.92349257,1.101694915,0.5672083661,0.5673382173,0.000129851,0.3269930466,0.3420940171,0.01510097046,78,1066.83,KMeans_79,0.6754699269,0.9183420588,1.120689655,0.5655565658,0.5656821378,0.000125572,0.3276589267,0.3470263211,0.01936739435,79,242.18,KMeans_75,0.672289257,0.913611162,1.203703704,0.538916098,0.539045049,0.000128951,0.312774857,0.35590232,0.043127463,KMeans_75,174.51,0.665521798,0.775718395,1.911764706,0.466606669,0.467193466,0.000586796,0.269440243,0.279731178,0.010290935,38,L,29.16
